Site,Replicate,Argobuccinum pustulosum,Aulacomya ater,Aulactina reynaudi,Burnupena cincta,Burnupena papyracea,Comanthus wahlbergi,Compound ascidian,Corallina officinalis,Crepidula porcellana,Cymbula compressa,Cymbula mimiata,Menipea cripsa,Notomegabalanus algicola,Oxystele sinensis,Patiriella dyscrita,Platyclinia sp.,Polychaeta,Schizoretepora tesselata,Scutellastra aphanes,Scutellastra argenvillei,Solitary ascidian,Sponge,Turbo cidaris,Turbo sarmaticus,Turbo sinensis,Parechinus angulosus
Bordjies,B1Q1,0.75,0,0,0,0,0,0,0.45,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.45
Bordjies,B1Q2,0,0,0,0,0,0.65,0,0,0.2,0,0,0,0,11.15,3.7,0,0,0,0,0,10.45,0,1.3,0,0,869.55
Bordjies,B1Q3,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0
Bordjies,B1Q4,0,0,0,0,0,0,0.45,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordjies,B1Q5,0,0,0,7.2,0,0,0,0,2.45,0,0,0,0,4.35,0,0,0,0,0,0.3,0,0,17.6,0,0,658.75
Bordjies,B1Q6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.2,0,0,0,0,3,0,0,0,26.35
Bordjies,B1Q7,0,0,0.85,0,0,0,0,0,0,0,0,0,0,31.2,6.55,0,0,0,0,0,0,0,0,0,0,105.4
Bordjies,B1Q8,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordjies,B2Q1,0,0,0,0,0,0,0,0.8,0,1.5,7,0.15,0,38.85,0,0,0,0,0,0,0.6,0,0,0,0,158.1
Bordjies,B2Q2,0,0,0,0,0,0,0,0,0,0,21.7,0,0,34.8,0,0,0,0,2.4,0,8.25,0,5.7,0,0,131.75
Bordjies,B2Q3,0,0,0,0,0,0,0,0,0.7,0,0,0.85,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0
Bordjies,B2Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,14.55,0,0,0,0,0,0,0,0,0,0,0,210.8
Bordjies,B2Q5,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0.95,0,0,26.35
Bordjies,B2Q6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,263.5
Bordjies,B2Q7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1343.85
Bordjies,B2Q8,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oudekraal,O1Q1,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0
Oudekraal,O1Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0
Oudekraal,O1Q3,0,1.7,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,3.9,0,0,0,0
Oudekraal,O1Q4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oudekraal,O1Q5,0,0,0,0,0,0,3.9,0,0,0,0,36.7,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0
Oudekraal,O1Q6,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0
Oudekraal,O1Q7,0,0,0,0,0,0,1.9,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,47.45,0,0,0,0
Oudekraal,O1Q8,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oudekraal,O2Q1,0,49.4,0,0,0,0,0,0,0,0,0,0.5,0.35,0,0,0,0,0,0,0,0,1.75,0,0,0,0
Oudekraal,O2Q2,0,6.7,0,0,0,0,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Oudekraal,O2Q3,0,46.65,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,1.05,0,0,0,0
Oudekraal,O2Q4,0,419.15,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,1.55,53.6,0,0,0
Oudekraal,O2Q5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
Oudekraal,O2Q6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oudekraal,O2Q7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oudekraal,O2Q8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.35
Betty's Bay,Y1Q1,0,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0,4.75,0,0,0,0
Betty's Bay,Y1Q2,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,54.55,0,0,0,0
Betty's Bay,Y1Q3,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,33.9,0,0,0,0
Betty's Bay,Y1Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.4,0,0,0,0
Betty's Bay,Y1Q5,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4,0,0,0,0
Betty's Bay,Y1Q6,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,6.5,24.45,255.15,0,0
Betty's Bay,Y1Q7,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,33.9,0,0,0,0
Betty's Bay,Y1Q8,0,0,0.15,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0
Betty's Bay,Y2Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,0,0
Betty's Bay,Y2Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0
Betty's Bay,Y2Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0
Betty's Bay,Y2Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.25,98.45,0,301.2,0
Betty's Bay,Y2Q5,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0.7,0,0,0,0,0,14.1,0,0,0,0
Betty's Bay,Y2Q6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,30.55,0,0,0,0
Betty's Bay,Y2Q7,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,2.15,0,0,0,4.4,0,0,0,0
Betty's Bay,Y2Q8,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,0,0,0,0,0,0,0,40.55,0,0,0,0
