Replicate;Host_spp;Host_size;Part;Plant;rep;subrep
APB1LP1;Lp;A;PB;Laminaria pallida;1;1
APB1LP2;Lp;A;PB;Laminaria pallida;1;2
APB1LP3;Lp;A;PB;Laminaria pallida;1;3
APB2LP1;Lp;A;PB;Laminaria pallida;2;1
APB2LP2;Lp;A;PB;Laminaria pallida;2;2
APB2LP3;Lp;A;PB;Laminaria pallida;2;3
APB3LP1;Lp;A;PB;Laminaria pallida;3;1
APB3LP2;Lp;A;PB;Laminaria pallida;3;2
APB3LP3;Lp;A;PB;Laminaria pallida;3;3
APB4LP1;Lp;A;PB;Laminaria pallida;4;1
APB4LP2;Lp;A;PB;Laminaria pallida;4;2
APB4LP3;Lp;A;PB;Laminaria pallida;4;3
APB1EM1;Em;A;PB;Ecklonia maxima;1;1
APB1EM2;Em;A;PB;Ecklonia maxima;1;2
APB1EM3;Em;A;PB;Ecklonia maxima;1;3
APB2EM1;Em;A;PB;Ecklonia maxima;2;1
APB2EM2;Em;A;PB;Ecklonia maxima;2;2
APB2EM3;Em;A;PB;Ecklonia maxima;2;3
APB3EM1;Em;A;PB;Ecklonia maxima;3;1
APB3EM2;Em;A;PB;Ecklonia maxima;3;2
APB3EM3;Em;A;PB;Ecklonia maxima;3;3
APB4EM1;Em;A;PB;Ecklonia maxima;4;1
APB4EM2;Em;A;PB;Ecklonia maxima;4;2
APB4EM3;Em;A;PB;Ecklonia maxima;4;3
JPB1LP1;Lp;J;PB;Laminaria pallida;1;1
JPB1LP2;Lp;J;PB;Laminaria pallida;1;2
JPB1LP3;Lp;J;PB;Laminaria pallida;1;3
JPB2LP1;Lp;J;PB;Laminaria pallida;2;1
JPB2LP2;Lp;J;PB;Laminaria pallida;2;2
JPB2LP3;Lp;J;PB;Laminaria pallida;2;3
JPB3LP1;Lp;J;PB;Laminaria pallida;3;1
JPB3LP2;Lp;J;PB;Laminaria pallida;3;2
JPB3LP3;Lp;J;PB;Laminaria pallida;3;3
JPB4LP1;Lp;J;PB;Laminaria pallida;4;1
JPB4LP2;Lp;J;PB;Laminaria pallida;4;2
JPB4LP3;Lp;J;PB;Laminaria pallida;4;3
JPB1EM1;Em;J;PB;Ecklonia maxima;1;1
JPB1EM2;Em;J;PB;Ecklonia maxima;1;2
JPB1EM3;Em;J;PB;Ecklonia maxima;1;3
JPB2EM1;Em;J;PB;Ecklonia maxima;2;1
JPB2EM2;Em;J;PB;Ecklonia maxima;2;2
JPB2EM3;Em;J;PB;Ecklonia maxima;2;3
JPB3EM1;Em;J;PB;Ecklonia maxima;3;1
JPB3EM2;Em;J;PB;Ecklonia maxima;3;2
JPB3EM3;Em;J;PB;Ecklonia maxima;3;3
JPB4EM1;Em;J;PB;Ecklonia maxima;4;1
JPB4EM2;Em;J;PB;Ecklonia maxima;4;2
JPB4EM3;Em;J;PB;Ecklonia maxima;4;3
ALB1LP1;Lp;A;LB;Laminaria pallida;1;1
ALB1LP2;Lp;A;LB;Laminaria pallida;1;2
ALB1LP3;Lp;A;LB;Laminaria pallida;1;3
ALB2LP1;Lp;A;LB;Laminaria pallida;2;1
ALB2LP2;Lp;A;LB;Laminaria pallida;2;2
ALB2LP3;Lp;A;LB;Laminaria pallida;2;3
ALB3LP1;Lp;A;LB;Laminaria pallida;3;1
ALB3LP2;Lp;A;LB;Laminaria pallida;3;2
ALB3LP3;Lp;A;LB;Laminaria pallida;3;3
ALB4LP1;Lp;A;LB;Laminaria pallida;4;1
ALB4LP2;Lp;A;LB;Laminaria pallida;4;2
ALB4LP3;Lp;A;LB;Laminaria pallida;4;3
ALB1EM1;Em;A;LB;Ecklonia maxima;1;1
ALB1EM2;Em;A;LB;Ecklonia maxima;1;2
ALB1EM3;Em;A;LB;Ecklonia maxima;1;3
ALB2EM1;Em;A;LB;Ecklonia maxima;2;1
ALB2EM2;Em;A;LB;Ecklonia maxima;2;2
ALB2EM3;Em;A;LB;Ecklonia maxima;2;3
ALB3EM1;Em;A;LB;Ecklonia maxima;3;1
ALB3EM2;Em;A;LB;Ecklonia maxima;3;2
ALB3EM3;Em;A;LB;Ecklonia maxima;3;3
ALB4EM1;Em;A;LB;Ecklonia maxima;4;1
ALB4EM2;Em;A;LB;Ecklonia maxima;4;2
ALB4EM3;Em;A;LB;Ecklonia maxima;4;3
JLB1EM1;Em;J;LB;Ecklonia maxima;1;1
JLB1EM2;Em;J;LB;Ecklonia maxima;1;2
JLB1EM3;Em;J;LB;Ecklonia maxima;1;3
JLB2EM1;Em;J;LB;Ecklonia maxima;2;1
JLB2EM2;Em;J;LB;Ecklonia maxima;2;2
JLB2EM3;Em;J;LB;Ecklonia maxima;2;3
JLB3EM1;Em;J;LB;Ecklonia maxima;3;1
JLB3EM2;Em;J;LB;Ecklonia maxima;3;2
JLB3EM3;Em;J;LB;Ecklonia maxima;3;3
JLB4EM1;Em;J;LB;Ecklonia maxima;4;1
JLB4EM2;Em;J;LB;Ecklonia maxima;4;2
JLB4EM3;Em;J;LB;Ecklonia maxima;4;3
JLB1LP1;Lp;J;LB;Laminaria pallida;1;1
JLB1LP2;Lp;J;LB;Laminaria pallida;1;2
JLB1LP3;Lp;J;LB;Laminaria pallida;1;3
JLB2LP1;Lp;J;LB;Laminaria pallida;2;1
JLB2LP2;Lp;J;LB;Laminaria pallida;2;2
JLB2LP3;Lp;J;LB;Laminaria pallida;2;3
JLB3LP1;Lp;J;LB;Laminaria pallida;3;1
JLB3LP2;Lp;J;LB;Laminaria pallida;3;2
JLB3LP3;Lp;J;LB;Laminaria pallida;3;3
JLB4LP1;Lp;J;LB;Laminaria pallida;4;1
JLB4LP2;Lp;J;LB;Laminaria pallida;4;2
JLB4LP3;Lp;J;LB;Laminaria pallida;4;3
AUB1LP1;Lp;A;UB;Laminaria pallida;1;1
AUB1LP2;Lp;A;UB;Laminaria pallida;1;2
AUB1LP3;Lp;A;UB;Laminaria pallida;1;3
AUB2LP1;Lp;A;UB;Laminaria pallida;2;1
AUB2LP2;Lp;A;UB;Laminaria pallida;2;2
AUB2LP3;Lp;A;UB;Laminaria pallida;2;3
AUB3LP1;Lp;A;UB;Laminaria pallida;3;1
AUB3LP2;Lp;A;UB;Laminaria pallida;3;2
AUB3LP3;Lp;A;UB;Laminaria pallida;3;3
AUB4LP1;Lp;A;UB;Laminaria pallida;4;1
AUB4LP2;Lp;A;UB;Laminaria pallida;4;2
AUB4LP3;Lp;A;UB;Laminaria pallida;4;3
AUB1EM1;Em;A;UB;Ecklonia maxima;1;1
AUB1EM2;Em;A;UB;Ecklonia maxima;1;2
AUB1EM3;Em;A;UB;Ecklonia maxima;1;3
AUB2EM1;Em;A;UB;Ecklonia maxima;2;1
AUB2EM2;Em;A;UB;Ecklonia maxima;2;2
AUB2EM3;Em;A;UB;Ecklonia maxima;2;3
AUB3EM1;Em;A;UB;Ecklonia maxima;3;1
AUB3EM2;Em;A;UB;Ecklonia maxima;3;2
AUB3EM3;Em;A;UB;Ecklonia maxima;3;3
AUB4EM1;Em;A;UB;Ecklonia maxima;4;1
AUB4EM2;Em;A;UB;Ecklonia maxima;4;2
AUB4EM3;Em;A;UB;Ecklonia maxima;4;3
JUB1EM1;Em;J;UB;Ecklonia maxima;1;1
JUB1EM2;Em;J;UB;Ecklonia maxima;1;2
JUB1EM3;Em;J;UB;Ecklonia maxima;1;3
JUB2EM1;Em;J;UB;Ecklonia maxima;2;1
JUB2EM2;Em;J;UB;Ecklonia maxima;2;2
JUB2EM3;Em;J;UB;Ecklonia maxima;2;3
JUB3EM1;Em;J;UB;Ecklonia maxima;3;1
JUB3EM2;Em;J;UB;Ecklonia maxima;3;2
JUB3EM3;Em;J;UB;Ecklonia maxima;3;3
JUB4EM1;Em;J;UB;Ecklonia maxima;4;1
JUB4EM2;Em;J;UB;Ecklonia maxima;4;2
JUB4EM3;Em;J;UB;Ecklonia maxima;4;3
JUB1LP1;Lp;J;UB;Laminaria pallida;1;1
JUB1LP2;Lp;J;UB;Laminaria pallida;1;2
JUB1LP3;Lp;J;UB;Laminaria pallida;1;3
JUB2LP1;Lp;J;UB;Laminaria pallida;2;1
JUB2LP2;Lp;J;UB;Laminaria pallida;2;2
JUB2LP3;Lp;J;UB;Laminaria pallida;2;3
JUB3LP1;Lp;J;UB;Laminaria pallida;3;1
JUB3LP2;Lp;J;UB;Laminaria pallida;3;2
JUB3LP3;Lp;J;UB;Laminaria pallida;3;3
JUB4LP1;Lp;J;UB;Laminaria pallida;4;1
JUB4LP2;Lp;J;UB;Laminaria pallida;4;2
JUB4LP3;Lp;J;UB;Laminaria pallida;4;3
ALS1EM1;Em;A;LS;Ecklonia maxima;1;1
ALS1EM2;Em;A;LS;Ecklonia maxima;1;2
ALS1EM3;Em;A;LS;Ecklonia maxima;1;3
ALS2EM1;Em;A;LS;Ecklonia maxima;2;1
ALS2EM2;Em;A;LS;Ecklonia maxima;2;2
ALS2EM3;Em;A;LS;Ecklonia maxima;2;3
ALS3EM1;Em;A;LS;Ecklonia maxima;3;1
ALS3EM2;Em;A;LS;Ecklonia maxima;3;2
ALS3EM3;Em;A;LS;Ecklonia maxima;3;3
ALS4EM1;Em;A;LS;Ecklonia maxima;4;1
ALS4EM2;Em;A;LS;Ecklonia maxima;4;2
ALS4EM3;Em;A;LS;Ecklonia maxima;4;3
ALS1LP1;Lp;A;LS;Laminaria pallida;1;1
ALS1LP2;Lp;A;LS;Laminaria pallida;1;2
ALS1LP3;Lp;A;LS;Laminaria pallida;1;3
ALS2LP1;Lp;A;LS;Laminaria pallida;2;1
ALS2LP2;Lp;A;LS;Laminaria pallida;2;2
ALS2LP3;Lp;A;LS;Laminaria pallida;2;3
ALS3LP1;Lp;A;LS;Laminaria pallida;3;1
ALS3LP2;Lp;A;LS;Laminaria pallida;3;2
ALS3LP3;Lp;A;LS;Laminaria pallida;3;3
ALS4LP1;Lp;A;LS;Laminaria pallida;4;1
ALS4LP2;Lp;A;LS;Laminaria pallida;4;2
ALS4LP3;Lp;A;LS;Laminaria pallida;4;3
JLS1EM1;Em;J;LS;Ecklonia maxima;1;1
JLS1EM2;Em;J;LS;Ecklonia maxima;1;2
JLS1EM3;Em;J;LS;Ecklonia maxima;1;3
JLS2EM1;Em;J;LS;Ecklonia maxima;2;1
JLS2EM2;Em;J;LS;Ecklonia maxima;2;2
JLS2EM3;Em;J;LS;Ecklonia maxima;2;3
JLS3EM1;Em;J;LS;Ecklonia maxima;3;1
JLS3EM2;Em;J;LS;Ecklonia maxima;3;2
JLS3EM3;Em;J;LS;Ecklonia maxima;3;3
JLS4EM1;Em;J;LS;Ecklonia maxima;4;1
JLS4EM2;Em;J;LS;Ecklonia maxima;4;2
JLS4EM3;Em;J;LS;Ecklonia maxima;4;3
JLS1LP1;Lp;J;LS;Laminaria pallida;1;1
JLS1LP2;Lp;J;LS;Laminaria pallida;1;2
JLS1LP3;Lp;J;LS;Laminaria pallida;1;3
JLS2LP1;Lp;J;LS;Laminaria pallida;2;1
JLS2LP2;Lp;J;LS;Laminaria pallida;2;2
JLS2LP3;Lp;J;LS;Laminaria pallida;2;3
JLS3LP1;Lp;J;LS;Laminaria pallida;3;1
JLS3LP2;Lp;J;LS;Laminaria pallida;3;2
JLS3LP3;Lp;J;LS;Laminaria pallida;3;3
JLS4LP1;Lp;J;LS;Laminaria pallida;4;1
JLS4LP2;Lp;J;LS;Laminaria pallida;4;2
JLS4LP3;Lp;J;LS;Laminaria pallida;4;3
AUS1EM1;Em;A;US;Ecklonia maxima;1;1
AUS1EM2;Em;A;US;Ecklonia maxima;1;2
AUS1EM3;Em;A;US;Ecklonia maxima;1;3
AUS2EM1;Em;A;US;Ecklonia maxima;2;1
AUS2EM2;Em;A;US;Ecklonia maxima;2;2
AUS2EM3;Em;A;US;Ecklonia maxima;2;3
AUS3EM1;Em;A;US;Ecklonia maxima;3;1
AUS3EM2;Em;A;US;Ecklonia maxima;3;2
AUS3EM3;Em;A;US;Ecklonia maxima;3;3
AUS4EM1;Em;A;US;Ecklonia maxima;4;1
AUS4EM2;Em;A;US;Ecklonia maxima;4;2
AUS4EM3;Em;A;US;Ecklonia maxima;4;3
AUS1LP1;Lp;A;US;Laminaria pallida;1;1
AUS1LP2;Lp;A;US;Laminaria pallida;1;2
AUS1LP3;Lp;A;US;Laminaria pallida;1;3
AUS2LP1;Lp;A;US;Laminaria pallida;2;1
AUS2LP2;Lp;A;US;Laminaria pallida;2;2
AUS2LP3;Lp;A;US;Laminaria pallida;2;3
AUS3LP1;Lp;A;US;Laminaria pallida;3;1
AUS3LP2;Lp;A;US;Laminaria pallida;3;2
AUS3LP3;Lp;A;US;Laminaria pallida;3;3
AUS4LP1;Lp;A;US;Laminaria pallida;4;1
AUS4LP2;Lp;A;US;Laminaria pallida;4;2
AUS4LP3;Lp;A;US;Laminaria pallida;4;3
JUS1EM1;Em;J;US;Ecklonia maxima;1;1
JUS1EM2;Em;J;US;Ecklonia maxima;1;2
JUS1EM3;Em;J;US;Ecklonia maxima;1;3
JUS2EM1;Em;J;US;Ecklonia maxima;2;1
JUS2EM2;Em;J;US;Ecklonia maxima;2;2
JUS2EM3;Em;J;US;Ecklonia maxima;2;3
JUS3EM1;Em;J;US;Ecklonia maxima;3;1
JUS3EM2;Em;J;US;Ecklonia maxima;3;2
JUS3EM3;Em;J;US;Ecklonia maxima;3;3
JUS4EM1;Em;J;US;Ecklonia maxima;4;1
JUS4EM2;Em;J;US;Ecklonia maxima;4;2
JUS4EM3;Em;J;US;Ecklonia maxima;4;3
JUS1LP1;Lp;J;US;Laminaria pallida;1;1
JUS1LP2;Lp;J;US;Laminaria pallida;1;2
JUS1LP3;Lp;J;US;Laminaria pallida;1;3
JUS2LP1;Lp;J;US;Laminaria pallida;2;1
JUS2LP2;Lp;J;US;Laminaria pallida;2;2
JUS2LP3;Lp;J;US;Laminaria pallida;2;3
JUS3LP1;Lp;J;US;Laminaria pallida;3;1
JUS3LP2;Lp;J;US;Laminaria pallida;3;2
JUS3LP3;Lp;J;US;Laminaria pallida;3;3
JUS4LP1;Lp;J;US;Laminaria pallida;4;1
JUS4LP2;Lp;J;US;Laminaria pallida;4;2
JUS4LP3;Lp;J;US;Laminaria pallida;4;3
AH1EM1;Em;A;HF;Ecklonia maxima;1;1
AH1EM2;Em;A;HF;Ecklonia maxima;1;2
AH1EM3;Em;A;HF;Ecklonia maxima;1;3
AH2EM1;Em;A;HF;Ecklonia maxima;2;1
AH2EM2;Em;A;HF;Ecklonia maxima;2;2
AH2EM3;Em;A;HF;Ecklonia maxima;2;3
AH3EM1;Em;A;HF;Ecklonia maxima;3;1
AH3EM2;Em;A;HF;Ecklonia maxima;3;2
AH3EM3;Em;A;HF;Ecklonia maxima;3;3
AH4EM1;Em;A;HF;Ecklonia maxima;4;1
AH4EM2;Em;A;HF;Ecklonia maxima;4;2
AH4EM3;Em;A;HF;Ecklonia maxima;4;3
AH1LP1;Lp;A;HF;Laminaria pallida;1;1
AH1LP2;Lp;A;HF;Laminaria pallida;1;2
AH1LP3;Lp;A;HF;Laminaria pallida;1;3
AH2LP1;Lp;A;HF;Laminaria pallida;2;1
AH2LP2;Lp;A;HF;Laminaria pallida;2;2
AH2LP3;Lp;A;HF;Laminaria pallida;2;3
AH3LP1;Lp;A;HF;Laminaria pallida;3;1
AH3LP2;Lp;A;HF;Laminaria pallida;3;2
AH3LP3;Lp;A;HF;Laminaria pallida;3;3
AH4LP1;Lp;A;HF;Laminaria pallida;4;1
AH4LP2;Lp;A;HF;Laminaria pallida;4;2
AH4LP3;Lp;A;HF;Laminaria pallida;4;3
JH1EM1;Em;J;HF;Ecklonia maxima;1;1
JH1EM2;Em;J;HF;Ecklonia maxima;1;2
JH1EM3;Em;J;HF;Ecklonia maxima;1;3
JH2EM1;Em;J;HF;Ecklonia maxima;2;1
JH2EM2;Em;J;HF;Ecklonia maxima;2;2
JH2EM3;Em;J;HF;Ecklonia maxima;2;3
JH3EM1;Em;J;HF;Ecklonia maxima;3;1
JH3EM2;Em;J;HF;Ecklonia maxima;3;2
JH3EM3;Em;J;HF;Ecklonia maxima;3;3
JH4EM1;Em;J;HF;Ecklonia maxima;4;1
JH4EM2;Em;J;HF;Ecklonia maxima;4;2
JH4EM3;Em;J;HF;Ecklonia maxima;4;3
JH1LP1;Lp;J;HF;Laminaria pallida;1;1
JH1LP2;Lp;J;HF;Laminaria pallida;1;2
JH1LP3;Lp;J;HF;Laminaria pallida;1;3
JH2LP1;Lp;J;HF;Laminaria pallida;2;1
JH2LP2;Lp;J;HF;Laminaria pallida;2;2
JH2LP3;Lp;J;HF;Laminaria pallida;2;3
JH3LP1;Lp;J;HF;Laminaria pallida;3;1
JH3LP2;Lp;J;HF;Laminaria pallida;3;2
JH3LP3;Lp;J;HF;Laminaria pallida;3;3
JH4LP1;Lp;J;HF;Laminaria pallida;4;1
JH4LP2;Lp;J;HF;Laminaria pallida;4;2
JH4LP3;Lp;J;HF;Laminaria pallida;4;3
